index,year,lat,long,ha,month
0,2012,52.745783333333335,-124.37698333333333,1.8217141767087546,7
1,2012,52.69748333333333,-123.01011666666666,1.4043435019524713,7
2,2012,53.05265,-122.967,2.0174434037581337,10
3,2012,52.512883333333335,-122.44381666666666,1.5704298645466555,3
4,2012,52.12793333333333,-121.91506666666666,1.790777315853574,4
5,2012,52.1,-121.98333333333333,2.128470270945108,4
6,2012,52.107166666666664,-121.99638333333333,1.4950240494897942,4
7,2012,51.91616666666667,-122.66865,2.527556026999512,5
8,2012,51.82595,-121.86248333333333,2.803299539521341,7
9,2012,52.15105,-122.31326666666666,1.2918396137574495,7
10,2012,51.921166666666664,-122.5895,1.8894061422082618,9
11,2012,51.1559,-121.9608,1.3284304196026173,5
12,2012,51.5771,-121.8551,1.7614902557935153,7
13,2012,51.219966666666664,-122.08753333333334,2.8909695766103884,8
14,2012,52.04115,-123.20701666666666,1.690230669351979,4
15,2012,52.14476666666667,-123.92801666666666,1.628613614460903,5
16,2012,52.025483333333334,-123.64891666666666,2.341495163355031,5
17,2012,51.47958333333333,-123.84145,1.7391318476100757,5
18,2012,52.1498,-123.8561,1.6346102462627485,7
19,2012,51.978366666666666,-123.1457,1.743706653924275,9
20,2012,52.11078333333333,-123.25143333333334,2.6356693153347526,10
21,2012,53.93685,-122.70466666666667,1.4696591682055227,5
22,2012,54.01291666666667,-124.25096666666667,2.1446458925732568,4
23,2012,54.634433333333334,-125.38326666666667,1.8894061422082618,8
24,2012,55.0951,-123.50641666666667,2.279086962195904,7
25,2012,58.47918333333333,-126.53636666666667,2.909029001366662,8
26,2012,58.370383333333336,-126.21695,3.0875284049093645,8
27,2012,58.522483333333334,-126.89395,1.7700868843856552,8
28,2012,55.1703,-123.9698,2.2556159727489833,9
29,2012,55.716566666666665,-121.2164,1.9643457790658274,4
30,2012,55.71225,-121.49015,2.3888999464557137,5
31,2012,55.644133333333336,-121.58206666666666,1.6796940931587387,5
32,2012,56.07868333333333,-120.63428333333333,2.659326350217031,5
33,2012,55.87775,-120.66358333333334,1.946399352541404,5
34,2012,55.11383333333333,-120.90345,2.3342660053549613,5
35,2012,55.90423333333333,-121.28686666666667,1.526752314088462,5
36,2012,55.885466666666666,-120.4668,1.603732463194718,5
37,2012,56.07731666666667,-120.93293333333334,1.4782735039082686,5
38,2012,56.16518333333333,-120.8854,2.0847731458462677,9
39,2012,55.54075,-120.07456666666667,2.0966995297218096,9
40,2012,56.13348333333333,-120.05808333333333,1.2918396137574495,4
41,2012,56.544466666666665,-120.3536,1.7055383410544462,5
42,2012,56.52023333333333,-121.89811666666667,1.2918396137574495,5
43,2012,56.5764,-120.38566666666667,1.4334752360252674,5
44,2012,56.51421666666667,-121.94813333333333,1.4142580908651883,5
45,2012,56.28811666666667,-120.7947,2.155893319428954,5
46,2012,56.261116666666666,-120.7109,1.6405219335130983,5
47,2012,57.21066666666667,-121.00915,2.0065903389099353,5
48,2012,57.441833333333335,-121.16833333333334,1.8924829251770687,5
49,2012,56.41,-122.19083333333333,2.0174434037581337,5
50,2012,58.31255,-120.5313,2.1934578537619602,5
51,2012,56.5764,-120.38566666666667,2.597042261725298,7
52,2012,57.49301666666667,-121.17985,2.3580675055607343,8
53,2012,57.53033333333333,-120.15463333333334,1.8894061422082618,8
54,2012,57.179233333333336,-120.68668333333333,1.628613614460903,8
55,2012,57.97395,-120.9617,2.977542054854132,8
56,2012,57.559333333333335,-120.0737,3.2610782479677196,8
57,2012,58.13665,-121.64483333333334,1.4867267027325657,8
58,2012,57.22578333333333,-120.78868333333334,2.9845811311906183,8
59,2012,56.56978333333333,-120.70808333333333,1.6100916771567348,9
60,2012,56.881166666666665,-120.286,2.5076491700803167,9
61,2012,58.16983333333334,-120.77443333333333,2.696894609160058,9
62,2012,58.87598333333333,-120.30336666666666,2.075971434959513,5
63,2012,59.178266666666666,-121.1203,1.6520988676672403,5
64,2012,58.96275,-121.362,2.109798770804274,5
65,2012,59.52158333333333,-120.13676666666667,1.8571132684242284,6
66,2012,59.04245,-121.42171666666667,2.135928856434805,6
67,2012,59.35373333333333,-120.26671666666667,1.782634111574548,6
68,2012,59.80883333333333,-120.83083333333333,3.278202105523596,7
69,2012,58.88485,-121.23726666666667,1.5343415659622208,7
70,2012,58.86735,-121.20485,1.7391318476100757,7
71,2012,58.904716666666666,-121.10016666666667,2.117715547419237,7
72,2012,58.950116666666666,-120.39923333333333,1.9302444193028285,7
73,2012,58.88385,-121.23545,3.1389820278857417,7
74,2012,58.87695,-128.1039,2.635474191142258,7
75,2012,59.48956666666667,-120.37135,1.5418019938343004,7
76,2012,59.41438333333333,-123.0603,1.2918396137574495,7
77,2012,59.12315,-120.1828,1.7345033285629567,7
78,2012,59.589416666666665,-123.67321666666666,3.1865790500526003,7
79,2012,59.52045,-123.73616666666666,3.141544840271272,6
80,2012,58.80608333333333,-125.21223333333333,2.680833932756385,7
81,2012,59.212783333333334,-121.9618,1.8104066673775685,7
82,2012,58.85585,-124.98203333333333,2.303193415982758,7
83,2012,59.34043333333333,-120.98136666666667,2.387116508064121,7
84,2012,59.34043333333333,-120.96078333333334,1.690230669351979,7
85,2012,59.89625,-121.66176666666667,3.039866537842398,7
86,2012,58.35261666666667,-121.4504,1.4696591682055227,7
87,2012,59.787933333333335,-122.24036666666667,1.8800154570796663,7
88,2012,59.66035,-120.34158333333333,2.0777513160536203,7
89,2012,59.960166666666666,-127.01048333333334,3.007763561336435,7
90,2012,59.59041666666667,-121.71066666666667,2.1314754603441917,7
