ha,spring,summer,autumn,years_since_2012,min_dist_to_roads,BG,BWBS,CWH,ESSF,ICH,IDF,MS,PP,SBPS,SBS,SWB
9.3,1,0,0,0,1.4913811412226379,0,1,0,0,0,0,0,0,0,0,0
25.0,1,0,0,0,1.245805381602819,0,1,0,0,0,0,0,0,0,0,0
14.0,0,1,0,0,1.2816586215502808,0,1,0,0,0,0,0,0,0,0,0
26.7,0,1,0,0,1.1836318565271233,0,1,0,0,0,0,0,0,0,0,0
12.0,0,1,0,0,1.2356914990892283,0,1,0,0,0,0,0,0,0,0,0
12196.3,0,1,0,0,1.4787063987504112,0,1,0,0,0,0,0,0,0,0,0
7.5,0,1,0,0,1.3213864942132427,0,1,0,0,0,0,0,0,0,0,0
11.0,0,1,0,0,1.2902325283992206,0,1,0,0,0,0,0,0,0,0,0
25.5,0,1,0,0,1.276979415926573,0,1,0,0,0,0,0,0,0,0,0
16.4,0,1,0,0,1.1071107798447772,0,1,0,0,0,0,0,0,0,0,0
2480.6,0,1,0,0,1.319616106919223,0,1,0,0,0,0,0,0,0,0,0
128.9,0,1,0,0,1.0109676241956307,0,1,0,0,0,0,0,0,0,0,0
7.6,0,1,0,0,1.406059707309824,0,1,0,0,0,0,0,0,0,0,0
5.0,0,1,0,0,0.0821548688029203,0,1,0,0,0,0,0,0,0,0,0
10.9,0,1,0,0,1.0175390324181528,0,1,0,0,0,0,0,0,0,0,0
3960.0,0,1,0,0,0.6046204112853691,0,1,0,0,0,0,0,0,0,0,0
2540.0,0,1,0,0,0.6760282820325159,0,1,0,0,0,0,0,0,0,0,0
155.1,0,1,0,0,0.010738303957300842,0,1,0,0,0,0,0,0,0,0,0
12.7,0,1,0,0,0.6624941217384921,0,1,0,0,0,0,0,0,0,0,0
42.0,0,1,0,0,0.07451099517631074,0,0,0,0,0,0,0,0,0,0,1
54.0,0,1,0,0,1.6500711490255557,0,1,0,0,0,0,0,0,0,0,0
10.0,0,1,0,0,1.6466524999230339,0,1,0,0,0,0,0,0,0,0,0
1102.3,0,1,0,0,1.230388002410996,0,1,0,0,0,0,0,0,0,0,0
6.7,0,1,0,0,1.0627836260029468,0,1,0,0,0,0,0,0,0,0,0
14.7,0,1,0,0,0.678625497301122,0,1,0,0,0,0,0,0,0,0,0
23.1,0,1,0,0,1.515462457830854,0,1,0,0,0,0,0,0,0,0,0
878.3,0,1,0,0,0.3024740208646465,0,1,0,0,0,0,0,0,0,0,0
26.4,0,1,0,0,1.0245296577549041,0,1,0,0,0,0,0,0,0,0,0
1827.1,0,1,0,0,1.0930941290196723,0,1,0,0,0,0,0,0,0,0,0
5.1,0,1,0,0,0.0695196915562523,0,1,0,0,0,0,0,0,0,0,0
5831.9,0,1,0,0,0.6021290471797452,0,1,0,0,0,0,0,0,0,0,0
144.6,0,1,0,0,0.9083611631919694,0,0,0,0,0,0,0,0,0,0,1
2936.3,0,1,0,0,0.6023401686337865,0,1,0,0,0,0,0,0,0,0,0
46.0,0,1,0,0,0.45167517617340514,0,0,0,0,0,0,0,0,0,0,1
6.2,0,1,0,0,0.43520572668252877,0,1,0,0,0,0,0,0,0,0,0
38.5,0,1,0,0,1.0782103235253528,0,1,0,0,0,0,0,0,0,0,0
780.0,0,1,0,0,1.2926955721371858,0,1,0,0,0,0,0,0,0,0,0
938.9,0,1,0,0,1.1615387674975397,0,1,0,0,0,0,0,0,0,0,0
3010.9,0,1,0,0,0.5591454010431698,0,1,0,0,0,0,0,0,0,0,0
219.0,0,1,0,0,0.5077540563509257,0,1,0,0,0,0,0,0,0,0,0
61.6,0,1,0,0,0.17884894818767866,0,1,0,0,0,0,0,0,0,0,0
24851.8,0,1,0,0,1.251671168818704,0,1,0,0,0,0,0,0,0,0,0
2499.0,0,1,0,0,0.5492280084327623,0,0,0,0,0,0,0,0,0,0,1
2443.3,0,1,0,0,0.8354825668232632,0,0,0,0,0,0,0,0,0,0,1
11.4,1,0,0,0,0.01045096480808177,0,0,0,0,0,1,0,0,0,0,0
7.9,1,0,0,0,0.07871285017414924,1,0,0,0,0,0,0,0,0,0,0
6.5,0,1,0,0,0.04499397387363031,0,0,0,0,0,1,0,0,0,0,0
8.5,0,1,0,0,0.1687535780446717,0,0,0,0,0,1,0,0,0,0,0
31.0,0,0,1,0,0.1257574129021603,0,0,0,0,0,1,0,0,0,0,0
14.0,0,0,1,0,0.035094325433447836,1,0,0,0,0,0,0,0,0,0,0
5.9,1,0,0,0,0.11902590162257598,1,0,0,0,0,0,0,0,0,0,0
35.0,0,1,0,0,0.07337752497963154,0,0,0,0,0,1,0,0,0,0,0
9.0,0,1,0,0,0.11842939987175029,0,0,0,0,0,0,1,0,0,0,0
36.2,0,1,0,0,0.3493373185232389,0,0,0,0,1,0,0,0,0,0,0
17.9,0,1,0,0,0.096116369659297,0,0,0,0,0,0,1,0,0,0,0
15.0,0,1,0,0,0.00873569102246852,0,0,0,0,0,1,0,0,0,0,0
5.9,1,0,0,0,0.02214464438518041,0,0,0,0,0,0,0,1,0,0,0
27.0,0,1,0,0,0.07258932783361177,0,0,0,0,0,0,0,1,0,0,0
214.0,0,1,0,0,0.003319735594677821,0,0,0,0,0,1,0,0,0,0,0
14.5,0,1,0,0,0.0029940362213214953,0,0,0,0,0,0,0,1,0,0,0
41.0,0,0,1,0,0.08271998164305243,0,0,0,0,0,1,0,0,0,0,0
30.0,0,0,1,0,0.07792593185451671,0,0,0,0,0,0,0,1,0,0,0
16.6,0,0,1,0,0.0225863580067739,0,0,0,0,0,0,0,1,0,0,0
7.3,0,0,1,0,0.024318070325890773,0,0,0,0,0,0,0,1,0,0,0
9.3,1,0,0,0,0.02138711093680684,0,0,0,0,0,1,0,0,0,0,0
10.7,1,0,0,0,0.006508399083335814,0,0,0,0,0,1,0,0,0,0,0
125.0,1,0,0,0,0.05005083799399105,0,0,0,0,0,0,0,1,0,0,0
45.0,1,0,0,0,0.049927694116801556,0,0,0,0,0,0,0,1,0,0,0
6.1,1,0,0,0,0.0849062851300835,0,0,0,0,0,0,0,1,0,0,0
55.0,1,0,0,0,0.017940476386274978,0,0,0,0,0,0,0,1,0,0,0
6.5,1,0,0,0,0.033746992908973844,1,0,0,0,0,0,0,0,0,0,0
21.1,1,0,0,0,0.04258437444854035,0,0,0,0,0,0,0,1,0,0,0
12.9,1,0,0,0,0.09897787464650305,0,0,0,0,0,0,0,1,0,0,0
155.0,0,1,0,0,0.1264497756006572,0,0,0,0,0,1,0,0,0,0,0
27.4,0,1,0,0,0.03714666221632957,1,0,0,0,0,0,0,0,0,0,0
7.0,0,1,0,0,0.021196430147422885,1,0,0,0,0,0,0,0,0,0,0
20.6,0,1,0,0,0.10783437201861865,1,0,0,0,0,0,0,0,0,0,0
9.1,0,1,0,0,0.01260792137348239,1,0,0,0,0,0,0,0,0,0,0
15.0,0,1,0,0,0.24809203029250237,0,0,0,0,0,1,0,0,0,0,0
43.0,0,1,0,0,0.04171495497368579,1,0,0,0,0,0,0,0,0,0,0
20.0,0,1,0,0,0.18135061839969718,0,0,0,0,0,1,0,0,0,0,0
15.0,0,1,0,0,0.21248421277704344,0,0,0,1,0,0,0,0,0,0,0
5.1,0,1,0,0,0.04700025002245751,0,0,0,0,0,0,1,0,0,0,0
8.0,0,1,0,0,0.04571032847643079,0,0,0,1,0,0,0,0,0,0,0
29.0,1,0,0,0,0.033244927862224834,0,0,0,0,0,0,0,1,0,0,0
26.0,1,0,0,0,0.3176234607231617,0,0,0,0,0,1,0,0,0,0,0
140.0,1,0,0,0,0.006574473613569028,0,0,0,0,0,1,0,0,0,0,0
34.0,0,1,0,0,0.027001535223688214,0,0,0,0,0,0,0,1,0,0,0
11.0,0,1,0,0,0.10358016532142508,0,0,0,0,0,1,0,0,0,0,0
75.0,1,0,0,0,0.05565449034411324,0,0,0,0,0,1,0,0,0,0,0
5.5,0,1,0,0,0.06780263300904944,0,0,0,0,0,1,0,0,0,0,0
30.5,0,1,0,0,0.12502061924907376,0,0,0,1,0,0,0,0,0,0,0
5.0,0,0,0,0,0.04865538162435353,0,0,0,0,0,1,0,0,0,0,0
8.6,0,0,0,0,0.011651656989280314,0,0,0,0,0,1,0,0,0,0,0
53.3,1,0,0,0,0.18487361123437418,0,0,0,0,0,0,1,0,0,0,0
575.0,0,1,0,0,0.1488536087772279,0,0,0,1,0,0,0,0,0,0,0
25.0,0,1,0,0,0.0888123701521675,0,0,0,1,0,0,0,0,0,0,0
35.0,0,1,0,0,0.38725976302104215,0,0,0,1,0,0,0,0,0,0,0
431.0,0,0,1,0,0.4675863315378122,0,0,0,0,0,0,1,0,0,0,0
13.2,0,1,0,0,0.14525855388092854,0,0,0,1,0,0,0,0,0,0,0
7.8,0,1,0,0,0.024041236189249072,0,0,0,1,0,0,0,0,0,0,0
7.5,0,1,0,0,0.07499642061128511,0,0,0,1,0,0,0,0,0,0,0
33.1,0,1,0,0,0.29901064097497865,0,0,0,0,1,0,0,0,0,0,0
14.5,1,0,0,0,0.11905242189296324,0,0,0,0,0,1,0,0,0,0,0
7.9,1,0,0,0,0.021528969632290933,0,0,0,0,0,1,0,0,0,0,0
5.7,0,1,0,0,0.2925654517653902,0,0,0,0,0,1,0,0,0,0,0
10.4,0,1,0,0,0.11685100563731686,0,0,0,0,0,1,0,0,0,0,0
53.6,0,1,0,0,0.09435438943033642,0,0,0,1,0,0,0,0,0,0,0
10.0,0,1,0,0,0.024263005049467507,0,0,0,0,1,0,0,0,0,0,0
5.0,0,0,1,0,0.058491174099119546,0,0,0,1,0,0,0,0,0,0,0
14.0,0,0,1,0,0.01540978820089856,0,0,0,0,1,0,0,0,0,0,0
7450.0,0,1,0,0,0.6979445758224909,0,0,0,0,0,0,0,0,1,0,0
2367.0,0,1,0,0,0.8206666123688499,0,0,1,0,0,0,0,0,0,0,0
3500.0,0,1,0,0,0.21141267389452834,0,1,0,0,0,0,0,0,0,0,0
5.0,0,1,0,0,0.24339604555042038,0,1,0,0,0,0,0,0,0,0,0
36.6,0,1,0,0,0.43933673627481457,0,1,0,0,0,0,0,0,0,0,0
46.0,0,1,0,0,0.06479397894258483,0,0,0,0,0,0,0,0,0,0,0
135.0,0,1,0,0,0.23008402794616312,0,0,0,1,0,0,0,0,0,0,0
10.0,0,1,0,0,0.13933219999544516,0,0,1,0,0,0,0,0,0,0,0
5.0,0,1,0,0,0.27142655261070137,0,0,1,0,0,0,0,0,0,0,0
14.23,0,0,1,0,0.1511219738383396,0,0,1,0,0,0,0,0,0,0,0
313.0,0,1,0,0,0.11014861845399962,0,0,1,0,0,0,0,0,0,0,0
26.7,0,1,0,0,0.18661552598682665,0,0,1,0,0,0,0,0,0,0,0
13.0,0,1,0,0,0.6310667138879783,0,0,1,0,0,0,0,0,0,0,0
15.5,1,0,0,1,0.8499293116774816,0,0,0,0,0,0,0,0,1,0,0
5.1,0,1,0,1,0.1470539088505088,0,0,0,0,0,0,0,0,0,1,0
49.4,0,1,0,1,0.40076248272735443,0,0,0,1,0,0,0,0,0,0,0
9.8,0,1,0,1,0.06576245234137583,0,0,0,1,0,0,0,0,0,0,0
300.0,1,0,0,1,0.07226888693824629,0,0,0,0,0,1,0,0,0,0,0
45.0,1,0,0,1,0.004131692857589688,0,0,0,0,0,1,0,0,0,0,0
438.0,1,0,0,1,0.02897772685629322,0,0,0,0,0,1,0,0,0,0,0
8.3,1,0,0,1,0.31296382227171393,1,0,0,0,0,0,0,0,0,0,0
11.1,0,1,0,1,0.10761153039962319,0,0,0,0,0,1,0,0,0,0,0
8.9,0,1,0,1,0.21063626085806667,0,0,0,0,0,1,0,0,0,0,0
6.1,0,1,0,1,0.03438684112217791,0,0,0,0,0,1,0,0,0,0,0
43.0,0,1,0,1,0.5185277037682219,0,0,0,1,0,0,0,0,0,0,0
12.1,1,0,0,1,0.476155194578382,0,0,0,0,0,1,0,0,0,0,0
6.4,0,1,0,1,0.5474498239223156,0,0,0,0,0,1,0,0,0,0,0
5.5,0,1,0,1,0.29587988678729715,0,0,0,0,0,1,0,0,0,0,0
12.2,0,1,0,1,0.11745029879430223,0,0,0,0,0,1,0,0,0,0,0
6.1,0,1,0,1,0.3974674089180519,0,0,0,0,0,1,0,0,0,0,0
25.0,1,0,0,1,0.0008335691172865508,0,0,0,0,0,1,0,0,0,0,0
9.3,1,0,0,1,0.0269847500299747,0,0,0,0,0,1,0,0,0,0,0
12.0,1,0,0,1,0.6367086130762952,0,0,0,0,0,1,0,0,0,0,0
6.0,1,0,0,1,0.03410397141136573,0,0,0,0,0,1,0,0,0,0,0
6.5,1,0,0,1,0.04447141004937052,0,0,0,0,0,1,0,0,0,0,0
5.0,1,0,0,1,0.045521650914188055,0,0,0,0,0,1,0,0,0,0,0
156.8,1,0,0,1,0.30717651236025545,0,0,0,0,0,0,0,0,1,0,0
1200.0,0,1,0,1,0.37062833799528544,0,0,0,1,0,0,0,0,0,0,0
5.0,0,0,1,1,0.009722298787634098,0,0,0,0,0,0,0,0,1,0,0
23.2,1,0,0,1,0.14180341370916363,0,0,0,0,0,0,0,0,0,1,0
14.0,1,0,0,1,0.004927481022223652,0,0,0,0,0,0,0,0,0,1,0
5.7,0,1,0,1,0.2924339955348065,0,0,0,1,0,0,0,0,0,0,0
9.8,0,1,0,1,0.05586650783752769,0,0,0,0,0,0,0,0,0,1,0
410.0,0,1,0,1,0.4412641163474715,0,0,0,1,0,0,0,0,0,0,0
100.0,0,1,0,1,0.30156857466273423,0,0,0,1,0,0,0,0,0,0,0
16.5,0,1,0,1,0.37375128091114684,0,0,0,1,0,0,0,0,0,0,0
405.0,0,1,0,1,0.28510622100515565,0,0,0,0,1,0,0,0,0,0,0
5.0,0,1,0,1,0.21356497459585352,0,0,0,1,0,0,0,0,0,0,0
131.0,0,1,0,1,0.3070211220315931,0,0,0,1,0,0,0,0,0,0,0
9.0,0,1,0,1,0.40203357349185426,0,0,0,0,0,0,0,0,0,1,0
281.9,0,1,0,1,0.2697452624397304,0,0,0,0,0,0,0,0,0,1,0
10.0,0,1,0,1,0.09390429162688485,0,0,0,0,0,0,0,0,0,1,0
6.1,1,0,0,1,0.3243169517956916,0,0,0,0,0,0,0,0,0,1,0
6.2,0,1,0,1,0.47271915450349433,0,0,0,0,0,0,0,0,0,1,0
23.5,1,0,0,1,0.17959585314201118,0,1,0,0,0,0,0,0,0,0,0
34.0,1,0,0,1,0.03872451909505944,0,1,0,0,0,0,0,0,0,0,0
52.0,1,0,0,1,0.03397956808768919,0,1,0,0,0,0,0,0,0,0,0
100.0,1,0,0,1,0.0710403543499725,0,1,0,0,0,0,0,0,0,0,0
49.0,1,0,0,1,0.006148239258836996,0,1,0,0,0,0,0,0,0,0,0
40.0,1,0,0,1,0.058218680817224866,0,1,0,0,0,0,0,0,0,0,0
79.0,1,0,0,1,0.3030954601446376,0,1,0,0,0,0,0,0,0,0,0
