lat,long,ha,spring,summer,autumn,years_since_2012
52.745783333333335,-124.37698333333333,13.0,0,1,0,0
52.69748333333333,-123.01011666666666,6.0,0,1,0,0
53.05265,-122.967,20.0,0,0,1,0
52.512883333333335,-122.44381666666666,8.0,1,0,0,0
52.12793333333333,-121.91506666666666,12.2,1,0,0,0
52.1,-121.98333333333333,26.2,1,0,0,0
52.107166666666664,-121.99638333333333,7.0,1,0,0,0
51.91616666666667,-122.66865,86.0,1,0,0,0
51.82595,-121.86248333333333,270.0,0,1,0,0
52.15105,-122.31326666666666,5.0,0,1,0,0
51.921166666666664,-122.5895,15.0,0,0,1,0
51.1559,-121.9608,5.3,1,0,0,0
51.5771,-121.8551,11.5,0,1,0,0
51.219966666666664,-122.08753333333334,427.0,0,1,0,0
52.04115,-123.20701666666666,10.0,1,0,0,0
52.14476666666667,-123.92801666666666,8.9,1,0,0,0
52.025483333333334,-123.64891666666666,47.0,1,0,0,0
51.47958333333333,-123.84145,11.0,1,0,0,0
52.1498,-123.8561,9.0,0,1,0,0
51.978366666666666,-123.1457,11.1,0,1,0,0
52.11078333333333,-123.25143333333334,129.0,0,0,1,0
53.93685,-122.70466666666667,6.7,1,0,0,0
54.01291666666667,-124.25096666666667,27.3,1,0,0,0
54.634433333333334,-125.38326666666667,15.0,0,1,0,0
55.0951,-123.50641666666667,39.2,0,1,0,0
58.47918333333333,-126.53636666666667,473.0,0,1,0,0
58.370383333333336,-126.21695,1590.8,0,1,0,0
58.522483333333334,-126.89395,11.7,0,1,0,0
55.1703,-123.9698,36.7,0,1,0,0
55.716566666666665,-121.2164,17.7,1,0,0,0
55.71225,-121.49015,54.3,1,0,0,0
55.644133333333336,-121.58206666666666,9.8,1,0,0,0
56.07868333333333,-120.63428333333333,141.9,1,0,0,0
55.87775,-120.66358333333334,17.0,1,0,0,0
55.11383333333333,-120.90345,46.0,1,0,0,0
55.90423333333333,-121.28686666666667,7.4,1,0,0,0
55.885466666666666,-120.4668,8.5,1,0,0,0
56.07731666666667,-120.93293333333334,6.8,1,0,0,0
56.16518333333333,-120.8854,23.5,0,1,0,0
55.54075,-120.07456666666667,24.2,0,1,0,0
56.13348333333333,-120.05808333333333,5.0,1,0,0,0
56.544466666666665,-120.3536,10.3,1,0,0,0
56.52023333333333,-121.89811666666667,5.0,1,0,0,0
56.5764,-120.38566666666667,6.3,1,0,0,0
56.51421666666667,-121.94813333333333,6.1,1,0,0,0
56.28811666666667,-120.7947,28.1,1,0,0,0
56.261116666666666,-120.7109,9.1,1,0,0,0
57.21066666666667,-121.00915,19.5,1,0,0,0
57.441833333333335,-121.16833333333334,15.1,1,0,0,0
56.41,-122.19083333333333,20.0,1,0,0,0
